id,form,lemma,upos,EV_ann_1,EV_ann_2,MF_ann_1,MF_ann_2,AGREED_ann_1,AGREED_ann_2,comparison,Unnamed: 22,Unnamed: 23,lila:token.1,ent_label_BERT,ent_label_BERT_hypopt,ent_label_SpaCy,ent_label_CRF,DIFF_gold_models,err_ent_label_BERT,err_ent_label_BERT_hypopt,err_ent_label_SpaCy,err_ent_label_CRF
13,Sabellam,sabellus,ADJ,B-GRP,,B-GEO,,B-GRP,,DIFF,recurrent problem,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003351,I-PERS,I-LOC,B-LOC,B-PERS,DIFF,ERROR,ERROR,ERROR,ERROR
3,Italiae,italia,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003361,B-LOC,O,B-LOC,B-PERS,DIFF,,ERROR,,ERROR
13,Uolsiniis,uolsinii,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003497,B-LOC,O,B-LOC,B-GRP,DIFF,,ERROR,,ERROR
16,Gabiis,gabii,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003500,B-LOC,O,O,B-GRP,DIFF,,ERROR,ERROR,ERROR
14,uilicus,uillicus,NOUN,O,,O,,O,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003518,O,B-PERS,O,O,DIFF,,ERROR,,
3,Cordo,cordus,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003574,B-PERS,O,B-LOC,O,DIFF,,ERROR,ERROR,ERROR
4,Procula,procula,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003575,I-PERS,O,O,O,DIFF,ERROR,ERROR,ERROR,ERROR
3,Asturici,asturicus,PROPN,B-GEO,Nested B-PER,B-PER,,B-LOC,Nested B-PER,DIFF,"I decided that “the house of..” could not really be considered a named place, but I see your point (it is not really “a geographical reference”; Evelien;’I decided this in connection to my thoughts document that buildings with the names of persons (“annotate GEO but with extra note in note column”); this is also one of the inconsistent annotation problems of Herodotos",???,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003637,B-GRP,B-LOC,B-PERS,B-PERS,DIFF,ERROR,,ERROR,ERROR
5,Persicus,persicus,PROPN,B-PER,,B-PER,,B-PERS,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003695,O,B-GRP,O,B-PERS,DIFF,ERROR,ERROR,ERROR,
8,Fabrateriae,fabrateria,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003714,B-LOC,B-PERS,O,B-LOC,DIFF,,ERROR,ERROR,
11,Frusinone,frusino,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003717,B-LOC,B-PERS,O,B-PERS,DIFF,,ERROR,ERROR,ERROR
13,Pythagoreis,pythagoreus,ADJ,B-GRP,,B-GRP,,B-GRP,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0003752,O,B-GRP,O,B-GRP,DIFF,ERROR,,ERROR,
17,Romam,roma,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0004324,O,B-LOC,B-LOC,O,DIFF,ERROR,,,ERROR
8,Roma,roma,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0004354,B-LOC,O,B-LOC,B-LOC,DIFF,,ERROR,,
24,Cumis,cumae,PROPN,B-GEO,,B-GEO,,B-LOC,,SAME,,,TokenURI=http://lila-erc.eu/data/corpora/Lasla/id/corpus/JuvenalisJuv%20Saturae/Juvenalis_JuvSaturae_JuvSatur.BPN_t_0004370,B-GRP,I-LOC,B-LOC,B-GRP,DIFF,ERROR,ERROR,,ERROR
